Transaction,State,Date,Product,"Wholesale
Price",Units Sold,Product Code,Sales,Month,Year
2.02E+11,Northen Territory,01/01/2018,Viper Earmuffs,61.425,6,SB038557-SM,368.55,01-Jan,2018
2.02E+11,Queensland,02/01/2018,Mineral Absorbent,240.45,5,TN139874-MD,1202.25,01-Jan,2018
2.02E+11,Tasmania,03/01/2018,Bio Waste Kit,314.9895,6,BP110966-XL,1889.937,01-Jan,2018
2.02E+11,New South Wales,04/01/2018,Spill Response Kit,103.929,6,BP252933-SM,623.574,01-Jan,2018
2.02E+11,Victoria,05/01/2018,Mineral Absorbent,103.95,6,SB639038-MD,623.7,01-Jan,2018
2.02E+11,Queensland,06/01/2018,Storage Cabinets,103.95,9,SB639038-MD,935.55,01-Jan,2018
2.02E+11,Australian Capital Territory,07/01/2018,Viper Earmuffs,103.929,5,BP252933-SM,519.645,01-Jan,2018
2.02E+11,Northen Territory,08/01/2018,Bio Waste Kit,68.25,5,HL880079-LG,341.25,01-Jan,2018
2.02E+11,Queensland,09/01/2018,Hook Tie Down System,68.25,7,HL880079-LG,477.75,01-Jan,2018
2.02E+11,Tasmania,10/01/2018,Storage Cabinets,68.25,7,HL880079-LG,477.75,01-Jan,2018
2.02E+11,New South Wales,11/01/2018,Hook Tie Down System,314.9895,5,BP110966-XL,1574.9475,01-Jan,2018
2.02E+11,Victoria,12/01/2018,Spill Response Kit,68.25,6,HL880079-LG,409.5,01-Jan,2018
2.02E+11,Queensland,13/01/2018,Viper Earmuffs,61.425,7,SB038557-SM,429.975,01-Jan,2018
2.02E+11,Australian Capital Territory,14/01/2018,Mineral Absorbent,68.25,7,HL880079-LG,477.75,01-Jan,2018
2.02E+11,Northen Territory,15/01/2018,Bio Waste Kit,189.525,5,BP459041-MD,947.625,01-Jan,2018
2.02E+11,Queensland,16/01/2018,Spill Response Kit,103.929,5,BP252933-SM,519.645,01-Jan,2018
2.02E+11,Tasmania,17/01/2018,Mineral Absorbent,289.0965,6,CR064824-SM,1734.579,01-Jan,2018
2.02E+11,New South Wales,18/01/2018,Storage Cabinets,103.95,8,SB639038-MD,831.6,01-Jan,2018
2.02E+11,Victoria,19/01/2018,Viper Earmuffs,240.45,8,TN139874-MD,1923.6,01-Jan,2018
2.02E+11,Queensland,20/01/2018,Bio Waste Kit,240.45,8,TN139874-MD,1923.6,01-Jan,2018
2.02E+11,Australian Capital Territory,21/01/2018,Hook Tie Down System,240.45,6,TN139874-MD,1442.7,01-Jan,2018
2.02E+11,Northen Territory,22/01/2018,Storage Cabinets,68.25,6,HL880079-LG,409.5,01-Jan,2018
2.02E+11,Queensland,23/01/2018,Hook Tie Down System,588.2625,5,CR008525-LG,2941.3125,01-Jan,2018
2.02E+11,Tasmania,24/01/2018,Spill Response Kit,314.9895,5,BP110966-XL,1574.9475,01-Jan,2018
2.02E+11,New South Wales,25/01/2018,Viper Earmuffs,68.25,7,HL880079-LG,477.75,01-Jan,2018
2.02E+11,Victoria,26/01/2018,Mineral Absorbent,189.525,5,BP459041-MD,947.625,01-Jan,2018
2.02E+11,Queensland,27/01/2018,Bio Waste Kit,588.2625,6,CR008525-LG,3529.575,01-Jan,2018
2.02E+11,Australian Capital Territory,28/01/2018,Spill Response Kit,240.45,6,TN139874-MD,1442.7,01-Jan,2018
2.02E+11,Northen Territory,29/01/2018,Mineral Absorbent,189.525,5,BP459041-MD,947.625,01-Jan,2018
2.02E+11,Queensland,30/01/2018,Storage Cabinets,68.25,8,HL880079-LG,546,01-Jan,2018
2.02E+11,Tasmania,31/01/2018,Viper Earmuffs,588.2625,5,CR008525-LG,2941.3125,01-Jan,2018
2.02E+11,New South Wales,01/02/2018,Bio Waste Kit,103.95,5,SB639038-MD,519.75,02-Feb,2018
